person,institution,role,start,end,place,source_id
Grace Chan,National Theatre,Permanent post (role not specified in appointment biography),prior,prior,London,ACE-APPT-25
Grace Chan,London Theatre Company,Permanent post (role not specified in appointment biography),prior,prior,London,ACE-APPT-25
Grace Chan,NESTA,Finance Director,prior,prior,London,ACE-APPT-25
George Osborne,British Museum,Trustee / Board member,current,present,London,BM-GOV-26
Muriel Gray,British Museum,Trustee / Board member,current,present,London,BM-GOV-26
Mary Beard,British Museum,Trustee / Board member,current,present,London,BM-GOV-26
Mervyn King,British Museum,Trustee / Board member,current,present,London,BM-GOV-26
Grayson Perry,British Museum,Trustee / Board member,current,present,London,BM-GOV-26
Amartya Sen,British Museum,Trustee / Board member,current,present,London,BM-GOV-26
Diane Coyle,Royal Museums Greenwich,Trustee,current,present,London,RMG-APPT-26
Sarah Sands,Royal Museums Greenwich,Trustee,current,present,London,RMG-APPT-26
George Zambellas,Royal Museums Greenwich,Trustee,current,present,London,RMG-APPT-26
