event_id,title,event_type,start_date,end_date,start_time,end_time,venue_id,presenting_institution_id,city,country,artists_or_participants,short_description,sidonie_note,official_event_url,booking_url,price_min,price_max,currency,featured,status,source_id,last_verified_date,notes,discovered_via,sidonie_recommended
evt-20260928-night-shift-water-rats,The Night Shift at The Water Rats,concert,2026-09-28,,20:00,,venue-water-rats,,London,United Kingdom,Orchestra of the Age of Enlightenment,,,,,8,,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Price shown as 'From £8'; The Night Shift,Continuo Connect,
evt-20260929-love-loss-redemption,"Love, Loss and Redemption: An Evening with Handel",concert,2026-09-29,,18:30,,venue-handel-hendrix-house,,London,United Kingdom,Zsombor Tóth-Vajna | Gabriella Ács,,,,,25,25,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,,Continuo Connect,
evt-20260929-dido-aeneas,Purcell: Dido & Aeneas,opera,2026-09-29,,19:30,,venue-temple-church,,London,United Kingdom,Early Opera Company,,,,,15,55,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Temple Music Foundation,Continuo Connect,
evt-20260930-mozart-requiem-allegri,Mozart Requiem and Allegri Miserere,concert,2026-09-30,,19:00,,venue-westminster-abbey,,London,United Kingdom,The English Concert,,,,,0,45,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,PDF displays £0–£45,Continuo Connect,
evt-20261001-fretwork-40,Fretwork 40th Anniversary,concert,2026-10-01,,19:00,,venue-wigmore-hall,,London,United Kingdom,Fretwork,,,,,18,50,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Early Music at Wigmore Hall,Continuo Connect,
evt-20261001-apollos-jukebox,Apollo’s Jukebox,concert,2026-10-01,,19:30,,venue-fidelio-cafe,,London,United Kingdom,Apollo's Cabinet,,,,,25,25,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,,Continuo Connect,
evt-20261001-big-concert,The Big Concert,concert,2026-10-01,,19:30,,venue-st-martin-in-the-fields,,London,United Kingdom,La Serenissima,,,,,10,35,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,,Continuo Connect,
evt-20261002-vivaldi-four-seasons,Vivaldi Four Seasons by Candlelight,concert,2026-10-02,,19:00,,venue-st-martin-in-the-fields,,London,United Kingdom,The Baroque Chamber Orchestra of London,,,,,9,35,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,St Martin-in-the-Fields,Continuo Connect,
evt-20261003-marie-antoinette,Antonia: Behind the Myth of Marie Antoinette,concert,2026-10-03,,15:00,,venue-chiswick-house,,London,United Kingdom,Liberata Collective,,,,,16,25,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,£16 students; £25 standard,Continuo Connect,
evt-20261003-morley-lessons,"Music From Thomas Morley’s First Booke of Consort Lessons, 1599",concert,2026-10-03,,19:00,,venue-st-peters-belize-park,,London,United Kingdom,Walsingham Consort,,,,,,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Donation / pay what you want,Continuo Connect,,
evt-20261004-bach-astronomical,"Bach, the Universe and Everything: Astronomical Instruments",concert,2026-10-04,,11:30,,venue-kings-place,,London,United Kingdom,Orchestra of the Age of Enlightenment,,,,,22,22,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Early Music at Kings Place,Continuo Connect,
evt-20261004-here-deities-approve,Here The Deities Approve,concert,2026-10-04,,12:00,,venue-dukes-hall-ram,,London,United Kingdom,"John Butt, director",,,,,20,20,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Royal Academy of Music: Resounding Shores,Continuo Connect,
evt-20261007-earth-resounds,The Earth Resounds,concert,2026-10-07,,19:30,,venue-st-jamess-spanish-place,,London,United Kingdom,The Sixteen Choir,,,,,15,60,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Early Music at Wigmore Hall shown in listing,Continuo Connect,
evt-20261008-gesualdo-six-friends,The Gesualdo Six Friends’ Concert,concert,2026-10-08,,19:30,,venue-st-peters-eaton-square,,London,United Kingdom,The Gesualdo Six,,,,,25,25,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,,Continuo Connect,
evt-20261008-mourn,MOURN,concert,2026-10-08,,19:30,,venue-stone-nest,,London,United Kingdom,FIGURE,,,,,30,30,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Concessions available,Continuo Connect,
evt-20261008-virtuosissime,Virtuosissime,concert,2026-10-08,,20:30,,venue-queens-house-greenwich,,London,United Kingdom,Musica Antica Rotherhithe,,,,,25,25,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,A second Virtuosissime listing is visible on 7 Oct but its full details are not captured clearly enough to enter.,Continuo Connect,
evt-20261009-girl-from-arles,The Girl from Arles,concert,2026-10-09,,19:00,,venue-queen-elizabeth-hall,,London,United Kingdom,Orchestra of the Age of Enlightenment,,,,,18,71,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Southbank Centre,Continuo Connect,
