area,authority,status,region,covered_authorities,settlement,scrutiny,culture_route,source_ids
Hull and East Yorkshire,Hull and East Yorkshire Combined Authority,mayoral,Yorkshire and the Humber,Kingston upon Hull; East Riding of Yorkshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
Tees Valley,Tees Valley Combined Authority,mayoral,North East,Darlington; Hartlepool; Middlesbrough; Redcar and Cleveland; Stockton-on-Tees,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
West of England,West of England Combined Authority,mayoral,South West,Bath and North East Somerset; Bristol; South Gloucestershire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
York and North Yorkshire,York and North Yorkshire Combined Authority,mayoral,Yorkshire and the Humber,City of York; North Yorkshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
Devon and Torbay,Devon and Torbay Combined County Authority,strategic,South West,Devon; Torbay,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Lancashire,Lancashire Combined County Authority,strategic,North West,Lancashire; Blackpool; Blackburn with Darwen,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Cornwall,Cornwall Council,single,South West,Cornwall,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Buckinghamshire,Buckinghamshire Council,single,South East,Buckinghamshire,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Surrey,Surrey County Council,single,South East,Surrey,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Warwickshire,Warwickshire County Council,single,West Midlands,Warwickshire,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Cheshire and Warrington,Mayoral Strategic Authority / transition,upcoming,North West,Cheshire East; Cheshire West and Chester; Warrington,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Cumbria,Mayoral Strategic Authority / transition,upcoming,North West,Cumberland; Westmorland and Furness,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Norfolk and Suffolk,Mayoral Strategic Authority / transition,upcoming,East of England,Norfolk; Suffolk,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Greater Essex,Mayoral Strategic Authority / transition,upcoming,East of England,Essex; Southend-on-Sea; Thurrock,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Sussex and Brighton,Mayoral Strategic Authority / transition,upcoming,South East,East Sussex; West Sussex; Brighton and Hove,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Hampshire and the Solent,Mayoral Strategic Authority / transition,upcoming,South East,Hampshire; Isle of Wight; Portsmouth; Southampton,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
