institution_id,public_name,legal_identity,plain_function,legal_power_basis,legacy_source_ids,introduced_in,last_modified_in
I000018,Liverpool Everyman & Playhouse,Not yet evidenced,"Theatre institution in Liverpool, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000019,London Theatre Company,,,,,C51,C51
I000020,Lyric Theatre Belfast,Lyric Theatre (NI),"Theatre institution in Belfast, Northern Ireland. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000021,NESTA,,,,,C51,C51
I000022,National Cultural Framework,,,,,C51,C51
I000023,National Galleries of Scotland,,,,,C51,C51
I000024,National Gallery,Not yet evidenced,"Gallery institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000025,National Museum Wales,Amgueddfa Cymru – Museum Wales,"Museum group institution in Wales, Wales. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000026,National Museum of Antiquities of Scotland,,,,,C51,C51
I000027,National Museums Liverpool,Not yet evidenced,"Museum group institution in Liverpool, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000028,National Museums Northern Ireland,National Museums NI,"Museum group institution in Northern Ireland, Northern Ireland. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000029,National Museums Scotland,National Museums Scotland,"Museum group institution in Scotland, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000030,National Portrait Gallery,,,,,C51,C51
I000031,National Theatre,Not yet evidenced,"Theatre institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000032,Natural History Museum,Not yet evidenced,"Museum institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000033,Northern Ballet,Not yet evidenced,"Ballet institution in Leeds, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000034,Norwich University of the Arts,Not yet evidenced,"Arts university institution in Norwich, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000035,Opera North,Opera North Ltd,"Opera institution in Leeds, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000036,Royal Academy of Music,Not yet evidenced,"Conservatoire institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000037,Royal Ballet and Opera,Not yet evidenced,"Opera and ballet institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000038,Royal Birmingham Conservatoire,Not yet evidenced,"Conservatoire institution in Birmingham, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000039,Royal College of Art,Not yet evidenced,"Art and design school institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000040,Royal College of Music,Not yet evidenced,"Conservatoire institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000041,Royal Conservatoire of Scotland,Royal Conservatoire of Scotland,"Conservatoire institution in Glasgow, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000042,Royal Exchange Theatre,Not yet evidenced,"Theatre institution in Manchester, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000043,Royal Lyceum Theatre Edinburgh,Royal Lyceum Theatre Company Ltd,"Theatre institution in Edinburgh, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000044,Royal Museums Greenwich,Not yet evidenced,"Museum group institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000045,Royal Northern College of Music,Royal Northern College of Music,"Conservatoire institution in Manchester, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000046,Royal Opera House,,,,,C51,C51
I000047,Royal Scottish Museum / predecessor,,,,,C51,C51
I000048,Royal Shakespeare Company,Not yet evidenced,"Theatre institution in Stratford-upon-Avon, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000049,Royal Welsh College of Music & Drama,Royal Welsh College of Music & Drama Ltd,"Conservatoire institution in Cardiff, Wales. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000050,Sadler’s Wells,Not yet evidenced,"Dance / theatre institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000051,Science Museum Group,Not yet evidenced,"Museum group institution in England, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000052,Scottish Opera,Scottish Opera,"Opera institution in Glasgow, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000053,Tate,Not yet evidenced,"Gallery group institution in London / Liverpool, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000054,Trinity Laban Conservatoire of Music and Dance,Not yet evidenced,"Conservatoire institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000055,University of the Arts London,Not yet evidenced,"Art and design university institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000056,Victoria and Albert Museum,Not yet evidenced,"Museum institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000057,Welsh National Opera,Welsh National Opera Ltd,"Opera institution in Cardiff, Wales. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000058,West Midlands,,,,,C51,C51
I000059,West Yorkshire,,,,,C51,C51
