gap_id,record_id,record_type,gap,status,introduced_in
G000376,I000045,institution,money-out routes,open,C39
G000377,I000045,institution,formal decision authority,open,C39
G000378,I000045,institution,artistic/cultural judgement mechanism,open,C39
G000379,I000045,institution,complete governing board,open,C39
G000380,I000045,institution,appointment routes,open,C39
G000381,I000045,institution,scrutiny/accountability powers,open,C39
G000382,I000045,institution,quantified capacity evidence,open,C39
G000383,I000045,institution,strategy claim extraction,open,C39
G000384,I000045,institution,operational commitments,open,C39
G000385,I000045,institution,measurable targets,open,C39
G000386,I000045,institution,claim-linked budget,open,C39
G000387,I000045,institution,outputs,open,C39
G000388,I000045,institution,results,open,C39
G000389,I000049,institution,exact legal power/governing instrument,open,C39
G000390,I000049,institution,reconciled audited money-in streams,open,C39
G000391,I000049,institution,money-out routes,open,C39
G000392,I000049,institution,formal decision authority,open,C39
G000393,I000049,institution,artistic/cultural judgement mechanism,open,C39
G000394,I000049,institution,complete governing board,open,C39
G000395,I000049,institution,appointment routes,open,C39
G000396,I000049,institution,scrutiny/accountability powers,open,C39
G000397,I000049,institution,quantified capacity evidence,open,C39
G000398,I000049,institution,strategy claim extraction,open,C39
G000399,I000049,institution,operational commitments,open,C39
G000400,I000049,institution,measurable targets,open,C39
G000401,I000049,institution,claim-linked budget,open,C39
G000402,I000049,institution,outputs,open,C39
G000403,I000049,institution,results,open,C39
G000404,I000041,institution,chair,open,C39
G000405,I000041,institution,exact legal power/governing instrument,open,C39
G000406,I000041,institution,reconciled audited money-in streams,open,C39
G000407,I000041,institution,money-out routes,open,C39
G000408,I000041,institution,formal decision authority,open,C39
G000409,I000041,institution,artistic/cultural judgement mechanism,open,C39
G000410,I000041,institution,complete governing board,open,C39
G000411,I000041,institution,appointment routes,open,C39
G000412,I000041,institution,scrutiny/accountability powers,open,C39
G000413,I000041,institution,quantified capacity evidence,open,C39
G000414,I000041,institution,strategy claim extraction,open,C39
G000415,I000041,institution,operational commitments,open,C39
G000416,I000041,institution,measurable targets,open,C39
G000417,I000041,institution,claim-linked budget,open,C39
G000418,I000041,institution,outputs,open,C39
G000419,I000041,institution,results,open,C39
G000420,I000039,institution,legal identity,open,C39
G000421,I000039,institution,executive leadership,open,C39
G000422,I000039,institution,chair,open,C39
G000423,I000039,institution,funding architecture,open,C39
G000424,I000039,institution,exact legal power/governing instrument,open,C39
G000425,I000039,institution,reconciled audited money-in streams,open,C39
G000426,I000039,institution,money-out routes,open,C39
G000427,I000039,institution,formal decision authority,open,C39
G000428,I000039,institution,artistic/cultural judgement mechanism,open,C39
G000429,I000039,institution,complete governing board,open,C39
G000430,I000039,institution,appointment routes,open,C39
G000431,I000039,institution,scrutiny/accountability powers,open,C39
G000432,I000039,institution,quantified capacity evidence,open,C39
G000433,I000039,institution,strategy claim extraction,open,C39
G000434,I000039,institution,operational commitments,open,C39
G000435,I000039,institution,measurable targets,open,C39
G000436,I000039,institution,claim-linked budget,open,C39
G000437,I000039,institution,outputs,open,C39
G000438,I000039,institution,results,open,C39
G000439,I000055,institution,legal identity,open,C39
G000440,I000055,institution,executive leadership,open,C39
G000441,I000055,institution,chair,open,C39
G000442,I000055,institution,funding architecture,open,C39
G000443,I000055,institution,exact legal power/governing instrument,open,C39
G000444,I000055,institution,reconciled audited money-in streams,open,C39
G000445,I000055,institution,money-out routes,open,C39
G000446,I000055,institution,formal decision authority,open,C39
G000447,I000055,institution,artistic/cultural judgement mechanism,open,C39
G000448,I000055,institution,complete governing board,open,C39
G000449,I000055,institution,appointment routes,open,C39
G000450,I000055,institution,scrutiny/accountability powers,open,C39
G000451,I000055,institution,quantified capacity evidence,open,C39
G000452,I000055,institution,strategy claim extraction,open,C39
G000453,I000055,institution,operational commitments,open,C39
G000454,I000055,institution,measurable targets,open,C39
G000455,I000055,institution,claim-linked budget,open,C39
G000456,I000055,institution,outputs,open,C39
G000457,I000055,institution,results,open,C39
G000458,I000006,institution,legal identity,open,C39
G000459,I000006,institution,executive leadership,open,C39
G000460,I000006,institution,chair,open,C39
G000461,I000006,institution,funding architecture,open,C39
G000462,I000006,institution,exact legal power/governing instrument,open,C39
G000463,I000006,institution,reconciled audited money-in streams,open,C39
G000464,I000006,institution,money-out routes,open,C39
G000465,I000006,institution,formal decision authority,open,C39
G000466,I000006,institution,artistic/cultural judgement mechanism,open,C39
G000467,I000006,institution,complete governing board,open,C39
G000468,I000006,institution,appointment routes,open,C39
G000469,I000006,institution,scrutiny/accountability powers,open,C39
G000470,I000006,institution,quantified capacity evidence,open,C39
G000471,I000006,institution,strategy claim extraction,open,C39
G000472,I000006,institution,operational commitments,open,C39
G000473,I000006,institution,measurable targets,open,C39
G000474,I000006,institution,claim-linked budget,open,C39
G000475,I000006,institution,outputs,open,C39
G000476,I000006,institution,results,open,C39
G000477,I000012,institution,chair,open,C39
G000478,I000012,institution,exact legal power/governing instrument,open,C39
G000479,I000012,institution,reconciled audited money-in streams,open,C39
G000480,I000012,institution,money-out routes,open,C39
G000481,I000012,institution,formal decision authority,open,C39
G000482,I000012,institution,artistic/cultural judgement mechanism,open,C39
G000483,I000012,institution,complete governing board,open,C39
G000484,I000012,institution,appointment routes,open,C39
G000485,I000012,institution,scrutiny/accountability powers,open,C39
G000486,I000012,institution,quantified capacity evidence,open,C39
G000487,I000012,institution,strategy claim extraction,open,C39
G000488,I000012,institution,operational commitments,open,C39
G000489,I000012,institution,measurable targets,open,C39
G000490,I000012,institution,claim-linked budget,open,C39
G000491,I000012,institution,outputs,open,C39
G000492,I000012,institution,results,open,C39
G000493,I000013,institution,legal identity,open,C39
G000494,I000013,institution,executive leadership,open,C39
G000495,I000013,institution,chair,open,C39
G000496,I000013,institution,funding architecture,open,C39
G000497,I000013,institution,exact legal power/governing instrument,open,C39
G000498,I000013,institution,reconciled audited money-in streams,open,C39
G000499,I000013,institution,money-out routes,open,C39
G000500,I000013,institution,formal decision authority,open,C39
G000501,I000013,institution,artistic/cultural judgement mechanism,open,C39
G000502,I000013,institution,complete governing board,open,C39
G000503,I000013,institution,appointment routes,open,C39
G000504,I000013,institution,scrutiny/accountability powers,open,C39
G000505,I000013,institution,quantified capacity evidence,open,C39
G000506,I000013,institution,strategy claim extraction,open,C39
G000507,I000013,institution,operational commitments,open,C39
G000508,I000013,institution,measurable targets,open,C39
G000509,I000013,institution,claim-linked budget,open,C39
G000510,I000013,institution,outputs,open,C39
G000511,I000013,institution,results,open,C39
G000512,I000008,institution,legal identity,open,C39
G000513,I000008,institution,executive leadership,open,C39
G000514,I000008,institution,chair,open,C39
G000515,I000008,institution,funding architecture,open,C39
G000516,I000008,institution,exact legal power/governing instrument,open,C39
G000517,I000008,institution,reconciled audited money-in streams,open,C39
G000518,I000008,institution,money-out routes,open,C39
G000519,I000008,institution,formal decision authority,open,C39
G000520,I000008,institution,artistic/cultural judgement mechanism,open,C39
G000521,I000008,institution,complete governing board,open,C39
G000522,I000008,institution,appointment routes,open,C39
G000523,I000008,institution,scrutiny/accountability powers,open,C39
G000524,I000008,institution,quantified capacity evidence,open,C39
G000525,I000008,institution,strategy claim extraction,open,C39
G000526,I000008,institution,operational commitments,open,C39
G000527,I000008,institution,measurable targets,open,C39
G000528,I000008,institution,claim-linked budget,open,C39
G000529,I000008,institution,outputs,open,C39
G000530,I000008,institution,results,open,C39
G000531,I000011,institution,legal identity,open,C39
G000532,I000011,institution,executive leadership,open,C39
G000533,I000011,institution,chair,open,C39
G000534,I000011,institution,funding architecture,open,C39
G000535,I000011,institution,exact legal power/governing instrument,open,C39
G000536,I000011,institution,reconciled audited money-in streams,open,C39
G000537,I000011,institution,money-out routes,open,C39
G000538,I000011,institution,formal decision authority,open,C39
G000539,I000011,institution,artistic/cultural judgement mechanism,open,C39
G000540,I000011,institution,complete governing board,open,C39
G000541,I000011,institution,appointment routes,open,C39
G000542,I000011,institution,scrutiny/accountability powers,open,C39
G000543,I000011,institution,quantified capacity evidence,open,C39
G000544,I000011,institution,strategy claim extraction,open,C39
G000545,I000011,institution,operational commitments,open,C39
G000546,I000011,institution,measurable targets,open,C39
G000547,I000011,institution,claim-linked budget,open,C39
G000548,I000011,institution,outputs,open,C39
G000549,I000011,institution,results,open,C39
G000550,I000002,institution,legal identity,open,C39
G000551,I000002,institution,executive leadership,open,C39
G000552,I000002,institution,chair,open,C39
G000553,I000002,institution,funding architecture,open,C39
G000554,I000002,institution,exact legal power/governing instrument,open,C39
G000555,I000002,institution,reconciled audited money-in streams,open,C39
G000556,I000002,institution,money-out routes,open,C39
G000557,I000002,institution,formal decision authority,open,C39
G000558,I000002,institution,artistic/cultural judgement mechanism,open,C39
G000559,I000002,institution,complete governing board,open,C39
G000560,I000002,institution,appointment routes,open,C39
G000561,I000002,institution,scrutiny/accountability powers,open,C39
G000562,I000002,institution,quantified capacity evidence,open,C39
G000563,I000002,institution,strategy claim extraction,open,C39
G000564,I000002,institution,operational commitments,open,C39
G000565,I000002,institution,measurable targets,open,C39
G000566,I000002,institution,claim-linked budget,open,C39
G000567,I000002,institution,outputs,open,C39
G000568,I000002,institution,results,open,C39
G000569,I000034,institution,legal identity,open,C39
G000570,I000034,institution,executive leadership,open,C39
G000571,I000034,institution,chair,open,C39
G000572,I000034,institution,funding architecture,open,C39
G000573,I000034,institution,exact legal power/governing instrument,open,C39
G000574,I000034,institution,reconciled audited money-in streams,open,C39
G000575,I000034,institution,money-out routes,open,C39
G000576,I000034,institution,formal decision authority,open,C39
G000577,I000034,institution,artistic/cultural judgement mechanism,open,C39
G000578,I000034,institution,complete governing board,open,C39
G000579,I000034,institution,appointment routes,open,C39
G000580,I000034,institution,scrutiny/accountability powers,open,C39
G000581,I000034,institution,quantified capacity evidence,open,C39
G000582,I000034,institution,strategy claim extraction,open,C39
G000583,I000034,institution,operational commitments,open,C39
G000584,I000034,institution,measurable targets,open,C39
G000585,I000034,institution,claim-linked budget,open,C39
G000586,I000034,institution,outputs,open,C39
G000587,I000034,institution,results,open,C39
G000588,I000005,institution,legal identity,open,C39
G000589,I000005,institution,executive leadership,open,C39
G000590,I000005,institution,chair,open,C39
G000591,I000005,institution,funding architecture,open,C39
G000592,I000005,institution,exact legal power/governing instrument,open,C39
