source_id,title,issuer,publication_date,url,default_locator,introduced_in
SRC000013,Annex 1: Arts Council England Review — Purpose and role,DCMS,2026,https://www.gov.uk/government/publications/arts-council-england-an-independent-review-by-baroness-margaret-hodge/annex-1-arts-council-england-review-purpose-and-role-of-arts-council-england,Summary financial information explicitly sourced from ACE Annual Report and Accounts 2024-25,C51
SRC000014,DCMS-sponsored museums and galleries annual performance indicators 2024/25: headline release,"Department for Culture, Media and Sport",2026-04-23; updated 2026-04-29,https://www.gov.uk/government/statistics/dcms-sponsored-museums-and-galleries-annual-performance-indicators-202425/dcms-sponsored-museums-and-galleries-annual-performance-indicators-202425-headline-release,,C51
SRC000015,Technical report: DCMS-sponsored museums and galleries annual performance indicators 2024/25,"Department for Culture, Media and Sport",2026-04-29,https://www.gov.uk/government/statistics/dcms-sponsored-museums-and-galleries-annual-performance-indicators-202425/technical-report-dcms-sponsored-museums-and-galleries-annual-performance-indicators-202425,,C51
SRC000016,DCMS-sponsored museums and galleries annual performance indicators 2024/25: data tables,"Department for Culture, Media and Sport",2026-04-29,https://assets.publishing.service.gov.uk/media/69e8eb88606c20d412163287/DCMS_sponsored_museums_and_galleries_annual_performance_indicators_2024_25_tables.ods,,C51
SRC000017,Arts Council England framework document 2025–2028,DCMS,2025-09-24,https://www.gov.uk/government/publications/the-arts-council-of-england-framework-document-2025-to-2028/the-arts-council-of-england-framework-document-2025-to-2028,"§§1.3,4.2–4.3,5.1,7–10,27; Annex B",C51
SRC000018,British Library framework document 2025–2028,DCMS,2025-09-25,https://www.gov.uk/government/publications/british-library-framework-document-2025-to-2028/british-library-framework-document-2025-2028,§§1.1–1.3; later governance sections queued,C51
SRC000019,British Museum framework document 2025–2028,DCMS / British Museum,2025-02-06; updated 2026-05-18,https://www.gov.uk/government/publications/the-british-museum-framework-document-2025-to-2028,"Current framework; §§5.2,28 updated; deeper extraction queued",C51
SRC000020,Churches Conservation Trust framework document 2025–2028,DCMS / CCT / Church Commissioners,2025-09-16,https://www.gov.uk/government/publications/the-churches-conservation-trust-framework-document-2025-to-2028/the-churches-conservation-trust-framework-document-2025-to-2028,"§§1–8.2,10–11,14.3–14.5; Annex B/C",C51
SRC000021,Historic England framework document 2024–2027,DCMS,2024-03-04; updated 2024-08-08,https://www.gov.uk/government/publications/historic-england-framework-document/historic-england-framework-document,§§1–4; Annex A/C,C51
SRC000022,Horniman Museum and Gardens framework document 2025–2028,DCMS / Horniman,2025-10-09,https://www.gov.uk/government/publications/the-horniman-museum-and-gardens-framework-document-2025-to-2028,Current framework; detailed extraction queued,C51
SRC000023,Imperial War Museum framework document 2025–2028,DCMS / IWM,2025-07-30,https://www.gov.uk/government/publications/imperial-war-museum-framework-document-2025-2028/imperial-war-museum-framework-document-2025-2028,§§1–8; Annex A,C51
SRC000024,National Gallery framework document 2025–2028,DCMS,2026-01-15,https://www.gov.uk/government/publications/the-national-gallery-framework-document-2025-to-2028,Current framework; detailed extraction queued,C51
SRC000025,National Museums Liverpool framework document 2025–2028,DCMS / NML,2025-07-22,https://www.gov.uk/government/publications/national-museums-liverpool-framework-document-2025-to-2028/national-museums-liverpool-framework-document-2025-to-2028,"§§1–3,33; Annex A",C51
SRC000026,Natural History Museum framework document 2025–2028,DCMS / NHM,2025-08-21,https://www.gov.uk/government/publications/natural-history-museum-framework-document-2025-to-2028/natural-history-museum-framework-document-2025-to-2028,"§§1–8,33; Annex A",C51
SRC000027,Royal Armouries framework document 2025–2028,DCMS / Royal Armouries,2025-07-02,https://www.gov.uk/government/publications/the-royal-armouries-framework-document-2025-2028/the-royal-armouries-framework-document-2025-2028,"§§1–2,33; Annex A",C51
SRC000028,Royal Museums Greenwich framework document 2025–2028,DCMS / RMG,2025-07-18,https://www.gov.uk/government/publications/the-royal-museums-greenwich-framework-document-2025-to-2028,Current framework; detailed extraction queued,C51
SRC000029,Science Museum Group framework document 2025–2028,DCMS / SMG,2025-09-05,https://www.gov.uk/government/publications/science-museum-group-framework-document-2025-2028/science-museum-group-framework-document-2025-2028,"§§1–8.4,33; Annexes A–C",C51
SRC000030,Sir John Soane's Museum framework document 2025–2028,DCMS / SJSM,2025-11-10,https://www.gov.uk/government/publications/sir-john-soanes-museum-framework-document-2025-to-2028/sir-john-soanes-museum-framework-document-2025-to-2028,"§§1–3,8–11,14,28,33; Annexes A–C",C51
SRC000031,Tate Gallery framework document 2025–2028,DCMS / Tate,2025-10-17,https://www.gov.uk/government/publications/the-tate-gallery-framework-document-2025-to-2028/the-tate-gallery-framework-document-2025-to-2028,§§1–3; detailed extraction queued,C51
SRC000032,Victoria and Albert Museum framework document 2025–2028,DCMS / V&A,2025-07-30,https://www.gov.uk/government/publications/the-victoria-and-albert-museum-framework-document-2025-to-2028/the-victoria-and-albert-museum-framework-document-2025-to-2028,§§1–3; detailed extraction queued,C51
SRC000033,Wallace Collection framework document 2025–2028,DCMS / Wallace Collection,2026-01-19,https://www.gov.uk/government/publications/the-wallace-collection-framework-document-2025-to-2028/the-wallace-collection-framework-document-2025-to-2028,"§§1–3,8,33; Annex A",C51
SRC000034,British Film Institute framework document 2026–2029,DCMS,2026-03-20,https://www.gov.uk/government/publications/british-film-institute-framework-document,Current framework; detailed extraction queued,C51
SRC000035,National Portrait Gallery framework document 2026–2029,DCMS / NPG,2026-03-23,https://www.gov.uk/government/publications/the-national-portrait-gallery-framework-document-2026-to-2029,Current framework; detailed extraction queued,C51
